fg_id,player_name,team,pos_type,position,PA,AB,IP,R,HR,RBI,SB,AVG,W,SV,ERA,WHIP,SO,sgp_atc,par_atc,dollar_value,R_batx,HR_batx,RBI_batx,SB_batx,AVG_batx,W_batx,SV_batx,ERA_batx,WHIP_batx,SO_batx,total_sgp_batx,par_batx,dollar_value_batx,systems
10954,Jacob deGrom,TEX,pitcher,SP,,,157.865,,,,,,10.1409,0.0,3.43702,1.05608,177.637,11.753266234862936,7.137851922664496,40.11578655382648,,,,,,10.8444,0.0,3.45998,1.04852,175.694,11.956383590807057,7.340969278608617,44.54880681184505,both
21390,Joe Ryan,MIN,pitcher,SP,,,168.145,,,,,,11.1823,0.0,3.82088,1.10102,185.148,11.681519524498553,7.066105212300113,39.7125593994808,,,,,,9.9093,0.0,4.13001,1.13718,186.287,10.60448958631871,5.98907527412027,36.344813231387256,both
17295,Framber Valdez,DET,pitcher,SP,,,185.144,,,,,,12.7327,0.0,3.48816,1.22804,172.813,11.598149460798187,6.982735148599747,39.24400727530976,,,,,,12.8581,0.0,3.34977,1.18289,169.316,12.114188412913688,7.498774100715248,45.50644827133066,both
21846,Cole Ragans,KCR,pitcher,SP,,,155.757,,,,,,10.3476,0.0,3.42957,1.15607,193.3,11.54330513341348,6.92789082121504,38.935774020418734,,,,,,10.7825,0.0,3.40973,1.08721,197.53,12.301342358522545,7.685928046324105,46.64219542549718,both
25436,George Kirby,SEA,pitcher,SP,,,165.969,,,,,,11.8582,0.0,3.61756,1.10576,162.396,11.47046947623653,6.855055164038091,38.52642682346435,,,,,,11.3144,0.0,3.71021,1.11938,161.524,11.042005119960447,6.426590807762007,38.99988427795636,both
26289,Gunnar Henderson,BAL,hitter,SS,659.777,581.686,,97.0296,26.3683,82.4762,23.9613,0.269652,,,,,,11.148719716605445,6.842454035507161,38.45560661201123,94.2521,24.9809,80.1243,20.6505,0.267369,,,,,,10.48712412696612,6.180858445867837,37.508652929346674,both
18525,Dylan Cease,TOR,pitcher,SP,,,168.955,,,,,,10.6146,0.0,3.70073,1.21901,199.856,11.208404748336886,6.592990436138446,37.053584180942224,,,,,,12.2699,0.0,3.36977,1.14142,200.036,12.789322158968783,8.173907846770344,49.60350980144871,both
12768,Sonny Gray,BOS,pitcher,SP,,,167.845,,,,,,11.7757,0.0,3.8102,1.18759,177.361,11.034312428130393,6.418898115931953,36.07515951849041,,,,,,11.0935,0.0,3.72022,1.17048,171.127,10.879482598212174,6.264068286013734,38.01361337160134,both
28163,Junior Caminero,TBR,hitter,3B,636.073,584.2,,84.0972,36.7355,103.618,5.99503,0.26941,,,,,,10.542213890258392,6.2359482091601075,35.046953905706815,81.9507,36.1666,104.953,4.87754,0.267961,,,,,,10.320862819096376,6.014597137998092,36.49969313078752,both
19611,Vladimir Guerrero Jr.,TOR,hitter,1B,662.728,576.806,,93.8493,28.7813,95.3454,4.77668,0.294195,,,,,,10.514658050694187,6.208392369595903,34.89208600003353,97.6648,31.506,98.0239,5.83913,0.299241,,,,,,11.199216719193444,6.89295103809516,41.82999989584612,both
27867,Cade Smith,CLE,pitcher,RP,,,68.3668,,,,,,4.89624,31.5573,2.9352,1.04524,88.3038,10.81379079652752,6.1983764843290805,34.835795239190524,,,,,,2.55635,32.0,3.03963,1.06565,89.8293,10.027156221294499,5.411741909096059,32.841255108696025,both
20454,Jazz Chisholm Jr.,NYY,hitter,2B/OF,584.601,518.721,,79.6882,27.8671,76.6027,32.3805,0.238414,,,,,,10.433819874279314,6.127554193181029,34.43776345795855,84.7861,26.5772,68.0782,31.1978,0.233461,,,,,,9.968592872885571,5.662327191787287,34.361936496238755,both
14107,Kevin Gausman,TOR,pitcher,SP,,,178.417,,,,,,11.3847,0.0,3.91473,1.19773,174.841,10.738638684107487,6.123224371909047,34.41342922017316,,,,,,11.45,0.0,4.16009,1.21812,174.096,10.227856859493219,5.612442547294779,34.05921061549572,both
31347,Zach Neto,LAA,hitter,SS,633.931,566.677,,86.171,26.6624,75.2011,26.8362,0.251243,,,,,,10.32550691402332,6.019241232925036,33.829028555396924,85.2357,26.3331,75.4118,26.9273,0.248654,,,,,,10.21148399409448,5.905218312996197,35.835925723598535,both
35110,Nick Kurtz,ATH,hitter,1B,579.097,516.531,,93.9162,37.5847,95.0663,3.10395,0.261488,,,,,,10.04962597914064,5.743360298042355,32.278536780289826,83.8585,33.6699,88.0907,3.20314,0.25111,,,,,,8.914158903307579,4.607893222209294,27.963084597558673,both
9132,Nathan Eovaldi,TEX,pitcher,SP,,,153.48,,,,,,10.6939,0.0,3.66207,1.12276,148.886,10.311277446731609,5.695863134533169,32.01159567617464,,,,,,9.98499,0.0,3.78987,1.135,150.676,9.885005394712577,5.269591082514137,31.97861020838357,both
15689,Luis Castillo,SEA,pitcher,SP,,,172.222,,,,,,10.8914,0.0,3.8977,1.1903,160.089,10.16940205409455,5.553987741896109,31.214234925358724,,,,,,10.2608,0.0,4.50988,1.2534,152.364,8.418172520229733,3.8027582080312934,23.07710798564372,both
26221,Ryan Pepiot,TBR,pitcher,SP,,,167.039,,,,,,11.0072,0.0,4.03186,1.20509,170.846,10.159228593037296,5.543814280838856,31.15705856520049,,,,,,9.42378,0.0,4.37018,1.26124,160.426,8.473765295463565,3.858350983265125,23.414473762564082,both
19627,Brent Rooker,ATH,hitter,DH/OF,638.681,567.868,,86.0787,32.4371,95.3052,6.34967,0.26355,,,,,,9.822704508240584,5.5164388271422995,31.003204454859784,89.52,33.9494,94.418,6.67682,0.266286,,,,,,10.133046006581218,5.826780325482933,35.35992335663309,both
20373,Andrés Muñoz,SEA,pitcher,RP,,,62.2277,,,,,,3.65925,33.9686,2.90923,1.12209,76.6975,10.096618526099585,5.481204213901145,30.80518070213935,,,,,,2.55677,34.0,3.09942,1.10927,77.551,9.697618344892843,5.082204032694404,30.841448457034694,both
21534,Cal Raleigh,SEA,hitter,C,618.703,533.9,,85.3398,39.4837,100.466,7.90477,0.229434,,,,,,9.737134885200115,5.430869204101831,30.522290480939542,81.292,38.7385,102.128,7.31373,0.22439,,,,,,9.410152768251738,5.103887087153454,30.973032471015202,both
33333,Wyatt Langford,TEX,hitter,OF,613.384,531.718,,84.2842,24.4389,74.3718,22.9098,0.250603,,,,,,9.63595627700223,5.329690595903945,29.953651695173797,86.7097,25.0067,74.3305,19.8444,0.250206,,,,,,9.451840823075297,5.145575141977013,31.226017196902568,both
30134,Tanner Bibee,CLE,pitcher,SP,,,174.513,,,,,,10.8523,0.0,3.98731,1.2226,163.637,9.910422018900718,5.295007706702278,29.758728713391804,,,,,,9.553,0.0,4.35011,1.2825,154.703,8.259547375955343,3.644133063756903,22.11448838602591,both
19251,Pete Alonso,BAL,hitter,1B,655.282,576.191,,85.0442,35.992,102.652,1.96245,0.252021,,,,,,9.574638678069155,5.268372996970871,29.609037694008844,87.4303,37.2653,99.2846,2.62299,0.250812,,,,,,9.672758976172814,5.366493295074529,32.56666306396118,both
17277,Ranger Suarez,BOS,pitcher,SP,,,164.76,,,,,,11.113,0.0,3.67876,1.24356,148.453,9.734348879082209,5.118934566883769,28.769171550908013,,,,,,10.8043,0.0,3.78988,1.21731,144.499,9.562618176841886,4.947203864643446,30.02219745926882,both
19569,David Bednar,NYY,pitcher,RP,,,61.5345,,,,,,4.07409,32.2197,3.34591,1.12309,73.3127,9.632068140192342,5.016653827993902,28.194338627175696,,,,,,3.27306,32.0,3.38006,1.09718,73.241,9.381634468961135,4.766220156762695,28.92389450601097,both
17479,Jack Flaherty,DET,pitcher,SP,,,159.068,,,,,,10.1181,0.0,4.04894,1.24671,175.26,9.593657596478367,4.978243284279928,27.978465674116308,,,,,,9.68778,0.0,4.07995,1.20496,172.86,9.634026242273256,5.018611930074816,30.455538615045004,both
19556,Yordan Alvarez,HOU,hitter,DH/OF,558.79,474.972,,77.6861,29.3619,86.2624,3.46793,0.291388,,,,,,9.275697253618564,4.969431572520279,27.928942546997146,84.2369,33.3627,92.4117,3.50988,0.291754,,,,,,10.024478656124469,5.7182129750261845,34.70108039761606,both
22201,MacKenzie Gore,TEX,pitcher,SP,,,158.235,,,,,,9.72606,0.0,3.91498,1.26574,178.143,9.575714775838662,4.960300463640222,27.877624360685513,,,,,,10.0798,0.0,3.86994,1.2138,176.797,10.073132820317792,5.457718508119352,33.120264943776355,both
25385,Drew Rasmussen,TBR,pitcher,SP,,,152.689,,,,,,9.62134,0.0521839,3.61934,1.15222,139.663,9.54567432700307,4.93026001480463,27.708792582368105,,,,,,8.79541,0.0,4.23979,1.24278,134.681,7.754541774188103,3.1391274619896627,19.049852622246718,both
18839,Josh Naylor,SEA,hitter,1B,604.046,543.762,,73.9827,21.5629,85.7521,17.3728,0.261536,,,,,,9.216755953790459,4.910490272692175,27.59768369927553,69.9145,20.0422,73.4546,12.918,0.249755,,,,,,7.811893229312066,3.5056275482137815,21.273965122662656,both
19290,Randy Arozarena,SEA,hitter,OF,650.708,562.803,,85.7958,22.9148,72.6389,24.3034,0.232922,,,,,,9.158157172548368,4.8518914914500835,27.268349856812655,87.7689,24.0994,73.6498,23.8436,0.232271,,,,,,9.287250544476422,4.980984863378137,30.22719807014567,both
22715,Maikel Garcia,KCR,hitter,3B,639.538,576.497,,82.8861,12.3817,65.4109,26.1166,0.268023,,,,,,9.154337046440391,4.848071365342107,27.246880181451406,82.3829,13.134,66.2983,25.1774,0.26992,,,,,,9.192711028007857,4.886445346909572,29.653483279168967,both
24617,Jarren Duran,BOS,hitter,OF,615.296,554.058,,81.614,16.7255,69.6112,23.3776,0.259919,,,,,,9.083078469834591,4.776812788736307,26.846396411233226,83.6145,19.3458,71.5882,25.0427,0.261811,,,,,,9.637101715146011,5.330836034047727,32.350276320925566,both
14161,Byron Buxton,MIN,hitter,OF,524.543,470.958,,78.4537,27.3696,72.7353,15.275,0.249163,,,,,,8.828671973149218,4.522406292050934,25.41659416407096,75.1053,26.9874,74.1343,14.4998,0.249542,,,,,,8.671271462584826,4.365005781486542,26.489117705296703,both
10233,Aroldis Chapman,BOS,pitcher,RP,,,55.665,,,,,,4.01439,28.5398,3.06136,1.13548,76.3291,9.106084007645723,4.490669695447283,25.238229783709635,,,,,,2.79527,29.0,3.12045,1.13596,76.7241,8.755004029771442,4.139589717573002,25.121176183891215,both
12856,George Springer,TOR,hitter,OF,568.284,499.822,,81.9688,24.343,71.2367,13.8336,0.259629,,,,,,8.78247319312841,4.476207512030126,25.156950167748036,81.6787,26.5268,76.3972,12.1695,0.26296,,,,,,9.04152743726585,4.735261756167566,28.73602288375328,both
24586,Kyle Bradish,BAL,pitcher,SP,,,140.218,,,,,,8.40782,0.0,3.61355,1.18255,151.429,9.085858335191357,4.470444022992917,25.124558504467956,,,,,,9.1574,0.0,4.00969,1.24449,146.978,8.383552551538166,3.7681382393397262,22.86701607018415,both
22100,José Soriano,LAA,pitcher,SP,,,170.877,,,,,,10.0772,0.0,3.76585,1.32706,158.646,8.999640814946845,4.3842265027484055,24.64000325215923,,,,,,10.3716,0.0,3.79009,1.36123,139.334,8.267439722525955,3.652025410327515,22.162383236054893,both
16137,Carlos Rodón,NYY,pitcher,SP,,,139.92,,,,,,10.5258,0.0,4.04332,1.21922,148.188,8.987970789326743,4.372556477128303,24.57441597717427,,,,,,9.2101,0.0,4.09027,1.21793,146.328,8.452291415484195,3.8368771032857554,23.28415912775294,both
25976,Riley Greene,DET,hitter,OF,629.559,564.911,,82.1531,27.9302,88.7112,3.76821,0.257073,,,,,,8.678581704418821,4.372316023320537,24.57306459110842,80.6538,26.8697,82.756,3.71801,0.247448,,,,,,8.07205114938599,3.7657854682877057,22.852738235869495,both
30122,Gavin Williams,CLE,pitcher,SP,,,163.007,,,,,,9.86712,0.0,3.96751,1.30779,166.028,8.954503174241543,4.339088862043103,24.386323016186875,,,,,,9.18211,0.0,4.2,1.33334,164.59,8.198443164119002,3.583028851920562,21.743676354919966,both
12564,Trevor Story,BOS,hitter,SS,575.096,530.073,,71.8369,19.5835,71.6051,22.3925,0.247818,,,,,,8.631078678337722,4.324812997239438,24.306090538469505,74.1749,21.3711,69.9686,21.9211,0.249013,,,,,,8.779563776436115,4.473298095337831,27.146291599625155,both
21636,Jeremy Peña,HOU,hitter,SS,589.806,539.11,,76.0861,16.4209,65.2312,17.1594,0.273207,,,,,,8.484497008330251,4.178231327231967,23.482279810755767,76.0114,16.4447,65.2121,16.4796,0.272621,,,,,,8.400169929156517,4.093904248058233,24.84393307357709,both
15998,Cody Bellinger,NYY,hitter,1B/OF,591.79,532.617,,76.664,22.4462,79.2618,11.1172,0.257485,,,,,,8.437444000733647,4.131178319635363,23.217834928750374,71.639,20.7589,68.191,11.3352,0.24733,,,,,,7.531163114789725,3.2248974336914404,19.57034926983984,both
18138,Ryan Helsley,BAL,pitcher,RP,,,62.5708,,,,,,4.03059,29.1414,3.54158,1.21321,70.4941,8.732375238623174,4.116960926424734,23.13793107005888,,,,,,2.95734,29.0,3.48949,1.17014,68.3334,8.436213207253504,3.8207988950550638,23.18658822598703,both
17432,Jeff Hoffman,TOR,pitcher,RP,,,60.8579,,,,,,4.31473,26.5629,3.56613,1.15482,72.4441,8.599046148502234,3.983631836303794,22.38860180704568,,,,,,2.84584,27.0,3.88939,1.17668,69.9016,7.889801125640304,3.274386813441864,19.870676479240387,both
31812,Roman Anthony,BOS,hitter,OF,609.576,525.058,,85.3534,18.8267,68.0199,10.9536,0.2656,,,,,,8.23894704701209,3.9326813659138056,22.1022526060358,80.3305,19.4175,73.18,9.83222,0.2652,,,,,,8.184192182302525,3.8779265012042403,23.533268152489217,both
27676,Vinnie Pasquantino,KCR,hitter,1B/DH,628.633,564.271,,73.3073,26.3722,93.0104,1.14591,0.259449,,,,,,8.225479770716259,3.9192140896179746,22.02656451566935,73.4757,23.7658,86.8438,0.909383,0.256855,,,,,,7.719025457967667,3.4127597768693825,20.710395347657087,both
22264,Shane Baz,BAL,pitcher,SP,,,156.842,,,,,,9.21526,0.0,4.15124,1.25451,154.817,8.518649493844894,3.903235181646454,21.93676068273841,,,,,,9.69678,0.0,4.38001,1.24849,148.846,8.26430719673703,3.648892884538591,22.14337344580682,both
5417,Jose Altuve,HOU,hitter,2B,600.038,540.214,,78.3052,20.011,67.7799,11.8606,0.262291,,,,,,8.126436533368617,3.8201708522703326,21.469926830818803,74.4873,20.4778,69.5806,11.4498,0.253713,,,,,,7.831352927888629,3.5250872467903447,21.39205666066026,both
30146,Jack Leiter,TEX,pitcher,SP,,,163.287,,,,,,9.66028,0.0,4.28737,1.28346,157.164,8.392368218773276,3.7769539065748363,21.2270411856958,,,,,,9.53562,0.0,4.41989,1.28862,156.117,8.11039426247392,3.4949799502754795,21.20934997913579,both
12304,Chris Bassitt,BAL,pitcher,SP,,,167.365,,,,,,10.5685,0.0,4.25586,1.319,152.302,8.359976675538064,3.7445623633396243,21.044995908117706,,,,,,10.8059,0.0,4.55203,1.32929,146.538,7.803134549850092,3.187720237651652,19.34473877327929,both
17548,Taylor Ward,BAL,hitter,OF,630.484,553.277,,80.3044,27.1087,83.3219,4.78638,0.24206,,,,,,8.048210898567188,3.7419452174689036,21.030287160126353,81.5467,27.509,81.7971,4.71963,0.245917,,,,,,8.170797052935463,3.8645313718371783,23.45197956405556,both
20220,Jo Adell,LAA,hitter,OF,567.69,517.311,,68.4727,30.0692,82.422,8.66853,0.233427,,,,,,8.03245861241292,3.7261929313146362,20.9417569754229,72.2803,30.4847,79.8363,10.1393,0.236867,,,,,,8.333704252413813,4.027438571315529,24.44058489427638,both
25816,Shea Langeliers,ATH,hitter,C,525.121,477.658,,69.2838,29.1747,76.0272,5.48314,0.253436,,,,,,7.956736304600319,3.650470623502035,20.516186373722952,70.7797,28.4116,76.3069,5.95035,0.255591,,,,,,8.046489133710187,3.740223452611903,22.697614674546195,both
13624,Corey Seager,TEX,hitter,SS,526.391,458.784,,70.6485,26.4096,75.5962,2.44377,0.273149,,,,,,7.903482637664991,3.597216956566707,20.216892866498064,70.9381,27.9008,83.2588,1.75645,0.275494,,,,,,8.261623323164418,3.955357642066134,24.00316045206999,both
33321,Luke Keaschall,MIN,hitter,2B,534.407,469.885,,68.0242,11.0044,56.5275,24.1357,0.266693,,,,,,7.898865317372307,3.5925996362740227,20.190942841571957,68.3415,10.5178,52.1708,19.9712,0.271194,,,,,,7.439806544694844,3.1335408635965596,19.015950247355303,both
31912,Chandler Simpson,TBR,hitter,OF,447.695,415.435,,55.3482,0.736911,32.1001,41.5601,0.285329,,,,,,7.854993075987578,3.548727394889294,19.944374337476297,56.7697,0.0,29.2284,37.0619,0.285294,,,,,,7.310734692744718,3.0044690116464334,18.23267534466247,both
20633,Yusei Kikuchi,LAA,pitcher,SP,,,167.937,,,,,,8.31477,0.0,4.2371,1.31932,170.382,8.140478660963492,3.525064348765052,19.81138450834867,,,,,,8.63218,0.0,4.74982,1.3504,155.667,6.912174184024089,2.296759871825649,13.937929439551041,both
24262,Ceddanne Rafaela,BOS,hitter,OF,559.153,520.956,,69.5042,16.1317,63.5353,19.6118,0.251171,,,,,,7.826909630122513,3.5206439490242287,19.786541206133,68.5759,16.6005,62.3103,21.0423,0.250276,,,,,,7.912175542682246,3.605909861583962,21.88253018204672,both
22542,Lawrence Butler,ATH,hitter,OF,553.249,500.181,,71.1376,20.8691,64.0811,17.7722,0.240331,,,,,,7.821014662248719,3.5147489811504347,19.75341061228923,72.8851,21.9979,65.9313,15.292,0.240849,,,,,,7.801912818924833,3.4956471378265483,21.213398819035778,both
16578,Yandy Díaz,TBR,hitter,1B/3B,615.681,548.286,,73.1178,19.1039,73.3185,2.02685,0.286853,,,,,,7.80502104670926,3.4987553656109753,19.663524120644915,77.1013,23.1955,84.5934,2.12505,0.285802,,,,,,8.61630920796301,4.3100435268647255,26.155578254283657,both
12927,Brandon Nimmo,TEX,hitter,OF,614.136,542.245,,78.2279,21.2664,71.6119,9.3362,0.250317,,,,,,7.784480311536291,3.478214630438007,19.54808214219184,78.4339,21.4973,71.2805,7.58517,0.251182,,,,,,7.652252571048876,3.3459868899505913,20.3051828577639,both
31687,Shane Smith,CHW,pitcher,SP,,,157.119,,,,,,7.93908,0.0,4.11436,1.25979,154.018,8.083133299191049,3.467718986992609,19.48909506922333,,,,,,8.59555,0.0,4.39005,1.28866,144.867,7.498161253010823,2.8827469408123827,17.494002723578898,both
27467,Tyler Soderstrom,ATH,hitter,1B/OF,584.997,524.86,,71.5163,24.0755,78.4754,5.32915,0.255526,,,,,,7.765846494750825,3.4595808136525408,19.443357327927295,74.9677,23.3649,74.2385,5.88521,0.255582,,,,,,7.73282624244181,3.4265605613435257,20.794145661553927,both
21455,Kris Bubic,KCR,pitcher,SP,,,137.905,,,,,,8.61248,0.0122239,3.75263,1.25015,133.932,8.069326040927983,3.453911728729543,19.411496229771927,,,,,,8.61668,0.0,3.82372,1.20048,134.432,8.303842758752157,3.6884284465537176,22.383295729576876,both
24610,Steven Kwan,CLE,hitter,OF,637.762,569.716,,78.9084,8.51272,53.6649,17.464,0.271745,,,,,,7.591298466971235,3.285032785872951,18.46237152132015,69.9034,4.40172,50.4163,16.4712,0.26426,,,,,,6.553947593465989,2.247681912367705,13.640098941747093,both
29576,Ben Rice,NYY,hitter,1B/DH,541.356,475.255,,74.1944,26.6956,74.8402,3.9843,0.247433,,,,,,7.579080739933556,3.2728150588352714,18.393706083128556,73.3195,25.7673,71.2518,5.1816,0.249091,,,,,,7.514124884928463,3.2078592038301785,19.46695245918747,both
21224,Bailey Ober,MIN,pitcher,SP,,,157.999,,,,,,8.30181,0.0,4.41335,1.20821,143.326,7.8871916449432895,3.2717773327448496,18.387873908575802,,,,,,8.35972,0.0,4.78028,1.26401,128.444,6.636644063543744,2.021229751345304,12.265869846018765,both
22286,Trevor Rogers,BAL,pitcher,SP,,,151.873,,,,,,9.10583,0.0,4.02747,1.27569,132.209,7.823834272367489,3.2084199601690493,18.031796076981713,,,,,,9.62536,0.0,4.21991,1.21461,138.471,8.343462433575885,3.7280481213774452,22.62372845346983,both
20253,Griffin Jax,TBR,pitcher,RP,,,63.1288,,,,,,3.5135,18.5618,3.09656,1.06928,80.0895,7.808475042429626,3.1930607302311858,17.945474926515974,,,,,,2.98989,19.0,3.00101,1.0406,78.8675,7.795946843488103,3.1805325312896633,19.30112004529012,both
14212,Josh Hader,HOU,pitcher,RP,,,48.271,,,,,,3.75174,22.8101,3.24694,1.06543,65.0319,7.727427047072628,3.112012734874188,17.489973170864094,,,,,,2.21091,23.0,3.13045,1.00198,70.0777,7.56428172948725,2.9488674172888105,17.895256048727507,both
20492,Casey Mize,DET,pitcher,SP,,,145.804,,,,,,9.08831,0.0,4.11903,1.2578,127.179,7.640491295726137,3.025076983527697,17.001381353227938,,,,,,8.53553,0.0,4.29988,1.2376,118.958,7.142498253866818,2.527083941668378,15.335655285025009,both
29837,Bryce Miller,SEA,pitcher,SP,,,140.917,,,,,,8.502,0.0,4.17516,1.20619,126.297,7.6400446961716915,3.0246303839732516,16.99887139748841,,,,,,8.70834,0.0,4.33021,1.21334,117.209,7.234090107763186,2.618675795564746,15.89148213157754,both
17920,Cody Ponce,TOR,pitcher,SP,,,136.559,,,,,,7.92133,0.154214,4.05066,1.25799,139.343,7.62423423955664,3.0088199273582,16.910014286167005,,,,,,7.45717,0.0,4.04265,1.21711,157.271,8.201210633073222,3.585796320874782,21.760470791065963,both
14542,Carlos Estévez,KCR,pitcher,RP,,,62.4979,,,,,,3.64054,28.2324,4.17582,1.26372,56.6085,7.612883112853186,2.9974688006547465,16.84621927039548,,,,,,2.50766,28.0,4.63984,1.32452,52.7638,6.691375858381761,2.075961546183321,12.598010747603697,both
7304,Salvador Perez,KCR,hitter,C,576.695,533.211,,60.5753,26.5214,88.2162,0.127938,0.250148,,,,,,7.300501419684157,2.994235738585873,16.828048982012447,64.9958,28.6173,92.4416,0.403963,0.250381,,,,,,7.776237192594163,3.4699715114958787,21.05758580936808,both
33266,Jacob Wilson,ATH,hitter,SS,574.73,530.738,,71.2922,10.5992,64.0533,5.81814,0.293829,,,,,,7.256561861762588,2.9502961806643038,16.581102148994766,65.3748,7.04931,56.3304,5.15225,0.292511,,,,,,6.434164710505005,2.127899029406721,12.913194317865308,both
19918,Daulton Varsho,TOR,hitter,OF,545.727,492.988,,71.0263,26.4731,74.3865,8.03834,0.223151,,,,,,7.2463466124460485,2.9400809313477643,16.52369093262094,69.7426,26.3242,71.8102,9.85773,0.220894,,,,,,7.230737649487081,2.924471968388797,17.7472118192956,both
sa3063258,Munetaka Murakami,CHW,hitter,1B,547.172,466.194,,69.4768,27.8691,75.0077,8.25982,0.216922,,,,,,7.227101148280912,2.920835467182628,16.41552856935777,77.4579,30.9439,77.4307,11.5403,0.206019,,,,,,7.884595232544113,3.5783295514458286,21.715158563732672,both
32095,Cam Schlittler,NYY,pitcher,SP,,,131.735,,,,,,8.27457,0.0,3.9065,1.27105,131.263,7.531716184248944,2.9163018720505045,16.390049092252866,,,,,,8.71141,0.0,4.0602,1.25249,132.507,7.656275136179979,3.0408608239815393,18.453519725795317,both
11609,Willson Contreras,BOS,hitter,C,563.119,489.801,,70.0845,21.9582,74.5465,4.72624,0.250711,,,,,,7.210798262495476,2.9045325813971914,16.323903933057412,72.014,22.7218,74.3419,5.10881,0.253133,,,,,,7.421640323149703,3.1153746420514183,18.905708198464854,both
14078,Michael Wacha,KCR,pitcher,SP,,,163.457,,,,,,10.1387,0.0,4.35561,1.29434,126.049,7.512804888087687,2.897390575889247,16.283764802738215,,,,,,8.94835,0.0,4.85027,1.33959,115.101,5.8344372296467,1.2190229174482603,7.397662949885994,both
27465,Spencer Torkelson,DET,hitter,1B,615.471,538.892,,75.7114,26.7059,78.5597,1.92517,0.231695,,,,,,7.156454436139049,2.850188755040765,16.018483568183996,72.6116,26.414,80.6189,2.2612,0.229369,,,,,,7.071557345710918,2.7652916646126338,16.781223224051246,both
16997,Gleyber Torres,DET,hitter,2B,631.352,550.34,,78.1955,17.0662,67.7928,5.47808,0.257171,,,,,,7.136678553068062,2.830412871969778,15.907340171993589,75.0785,16.9088,68.4969,7.1111,0.255602,,,,,,7.1632915302614615,2.8570258491631773,17.33791380679114,both
23920,Brayan Bello,BOS,pitcher,SP,,,155.925,,,,,,10.0675,0.0,4.23249,1.33179,127.779,7.4087621538364274,2.7933478416379875,15.699029203720354,,,,,,9.23521,0.0,4.36999,1.36217,117.578,6.465397224238859,1.849982912040419,11.226655258435263,both
